Identificador;Fecha reporte;Localidad;Barrio;Upz;Dirección;Tipo de afectación
5408096;10/12/2022;10 Engativa;MOLINO DEL VIENTO;N/A;KR 103A 77C 5;Daño en redes de servicio públicos acueducto
5408097;10/12/2022;11 Suba;ORQUIDEAS II SECTOR;N/A;KR 98A 158 30;Quemas - Basuras
5408098;10/12/2022;9 Fontibon;MONTEVIDEO;N/A;CL 15A 69 90;Daño en redes de servicio públicos energía
5408099;10/12/2022;5 Usme;SERRANIAS;N/A;KR 5C 97A SUR 40;Daño en redes de servicio públicos gas
5408100;10/12/2022;10 Engativa;DANUBIO CENTAUROS;N/A;KR 104 67C 16;Daño en redes de servicio públicos alcantarillado
5408101;10/12/2022;11 Suba;COSTA AZUL II ETAPA;N/A;KR 102A 135A 17;Escape de gas
5408102;10/12/2022;1 Usaquen;SANTA BARBARA;N/A;KR 10A 121 10;Daño en redes de servicio públicos acueducto
5408103;10/12/2022;7 Bosa;EL PORVENIR;N/A;AC 54 SUR 88D 60;Daño en redes de servicio públicos energía
5408104;10/12/2022;8 Kennedy;ALQUERIA DE LA FRAGUA;N/A;AK 68 38H SUR 59;Quemas
5408105;10/12/2022;4 San Cristobal;SAN VICENTE;N/A;KR 8F ESTE 36H SUR 46;Conato de incendio
