Identificador;Fecha reporte;Localidad;Barrio;Upz;Dirección;Tipo de afectación
5400917;31/07/2022;5 Usme;EL VIRREY;N/A;CL 93 SUR 10 45;Animales Peligrosos
5400918;31/07/2022;16 Puente Aranda;LA PONDEROSA;N/A;TV 53 2 00;Daño en redes de servicio públicos acueducto
5400919;31/07/2022;11 Suba;GAITANA;N/A;TV 126D 132B BIS 0;Daño en redes de servicio públicos energía
5400920;31/07/2022;10 Engativa;SANTA MARIA I Y II SECTOR;N/A;CL 72 75 18;Animales Peligrosos
5400921;31/07/2022;11 Suba;TUNA ALTA;N/A;KR 90 147C 49;Conato de incendio
5400922;31/07/2022;19 Ciudad Bolivar;EL RINCON DEL PORVENIR;N/A;CL 63 BIS SUR 75D 11;Animales Peligrosos
5400923;31/07/2022;5 Usme;PORVENIR;N/A;CL 67C SUR 1B ESTE 23;Animales Peligrosos
5400924;31/07/2022;3 Santa Fe;CERRO DE MONSERRATE;N/A;CERRO DE MONSERRATE;Persona desaparecida - Con personas extraviadas sin lesiones
5400925;31/07/2022;9 Fontibon;SALITRE;N/A;CL 23C 69C 20;Rescate en Espacios Confinados - En Ascensores
5400926;31/07/2022;10 Engativa;LAS MERCEDES_;N/A;KR 106A 67 3;Animales Peligrosos
5400927;31/07/2022;5 Usme;ANTONIO JOSE DE SUCRE I Y II;N/A;CL 110 SUR 9 62;Animales Peligrosos
5400928;31/07/2022;4 San Cristobal;EL SOSIEGO;N/A;CL 17 SUR 8 0;Quemas
5400929;31/07/2022;9 Fontibon;MARIA PAZ;N/A;DG 34A SUR 81 5;Animales Peligrosos
5400930;31/07/2022;16 Puente Aranda;BOSQUE DE LOS COMUNEROS;N/A;DG 5A 37B 60;Animales Peligrosos
5400931;31/07/2022;12 Barrios Unidos;LA CASTELLANA;N/A;CL 95 48 39;Colapso de estructura
5400932;31/07/2022;4 San Cristobal;SANTA TERESITA;N/A;KR 15 ESTE 62 SUR 30;Escape de gas - Daño en redes domiciliarias de servicio públicos gas
5400933;31/07/2022;2 Chapinero;CHAPINERO CENTRO;N/A;KR 13 55 11;Escape de gas - Daño en redes domiciliarias de servicio públicos gas
5400934;31/07/2022;4 San Cristobal;CIUDAD MARBELLA SECTOR I;N/A;KR 3 6 SUR 25;Animales Peligrosos
5400935;31/07/2022;4 San Cristobal;URB. SERAFINA;N/A;CL 30C SUR 7A 46;Animales Peligrosos
5400936;31/07/2022;15 Antonio Nariño;SAN_ANTONIO;N/A;KR 18A 1 SUR 79;Animales Peligrosos
5400937;31/07/2022;8 Kennedy;ALQUERIA DE LA FRAGUA;N/A;CL 38F SUR 68D 78;Animales Peligrosos
5400938;31/07/2022;19 Ciudad Bolivar;MEXICO;N/A;TV 17A BIS A 61 SUR;Animales Peligrosos
5400939;31/07/2022;5 Usme;VILLA ALEMANA;N/A;CL 113 SUR 2A ESTE 22;Animales Peligrosos
5400940;31/07/2022;11 Suba;PRADO VERANIEGO NORTE;N/A;CL 131A 53 31;Animales Peligrosos
5400941;31/07/2022;10 Engativa;URB. PINAR DE LOS ALAMOS;N/A;CL 65B 86 86;Animales Peligrosos
5400942;31/07/2022;19 Ciudad Bolivar;CASA DE TEJA;N/A;CL 73 SUR 18 20;Animales Peligrosos
5400943;31/07/2022;10 Engativa;LOS ANGELES;N/A;KR 99 66A 0;Animales Peligrosos
5400944;31/07/2022;7 Bosa;CHICO SUR_;N/A;CL 66A SUR 88B 9;Animales Peligrosos
5400945;31/07/2022;10 Engativa;LA_PRIMAVERA;N/A;KR 90A 81 23;Escape de gas - Daño o Fuga en Tanques de Almacenamiento de gas
5400946;31/07/2022;3 Santa Fe;SANTA ROSA DE LIMA;N/A;KR 8 ESTE 2 9;Daño en redes de servicio públicos acueducto
5400947;31/07/2022;2 Chapinero;ESPARTILLAL;N/A;KR 11 77A 49;Daño en redes de servicio públicos energía
5400948;1/08/2022;9 Fontibon;VERSALLES FONTIBON;N/A;KR 111A 22I 64;Conato de incendio
5400949;1/08/2022;14 Los Martires;PALOQUEMAO;N/A;KR 28A 15 10;Caida de árbol - Caída de ramas
5400950;1/08/2022;8 Kennedy;LAS VEGAS;N/A;KR 89C 42F SUR 83;Falla Eléctrica
5400951;1/08/2022;8 Kennedy;VILLAS DE KENNEDY;N/A;KR 81K 54A SUR 65.;Daño en redes de servicio públicos alcantarillado
5400952;1/08/2022;1 Usaquen;RINCON DEL CHICO;N/A;CL 103 9 0;Animales Peligrosos
5400953;1/08/2022;8 Kennedy;MORABIA II;N/A;CL 43 SUR 72J 42;Daño en redes de servicio públicos gas
5400954;1/08/2022;7 Bosa;SANTA_MARTA;N/A;CL 56F SUR 92A 29;Animales Peligrosos
5400955;1/08/2022;4 San Cristobal;LA VICTORIA;N/A;CL 39 SUR 6 ESTE 82;Animales Peligrosos
5400956;1/08/2022;5 Usme;LA CABANA;N/A;CL 76D SUR 14D ESTE 40;Animales Peligrosos
5400957;1/08/2022;2 Chapinero;LAOURDES;N/A;KR 7 62;Daño en redes de servicio públicos alcantarillado
5400958;1/08/2022;5 Usme;CENTRO USME;N/A;KR 13 137 SUR 38;Caida de árbol
5400959;1/08/2022;19 Ciudad Bolivar;LOS ALPES;N/A;CL 76 SUR 25 20;Daño en redes de servicio públicos energía
5400960;1/08/2022;7 Bosa;LA ESTACION;N/A;CL 65 SUR 77J 48;Daño en redes de servicio públicos acueducto
5400961;1/08/2022;2 Chapinero;ESPARTILLAL;N/A;CL 80 11 0;Caida de árbol - Caída de ramas
5400962;1/08/2022;12 Barrios Unidos;MODELO;N/A;CL 68 67 B 00;Caida de árbol
5400963;1/08/2022;13 Teusaquillo;LA SOLEDAD;N/A;KR 24 34 45;Daño en redes de servicio públicos acueducto
5400964;1/08/2022;14 Los Martires;PALOQUEMAO;N/A;KR 25 17;Daño en redes de servicio públicos acueducto
5400965;1/08/2022;4 San Cristobal;URB MONTEBELLO;N/A;CL 25 SUR 2 0;Daño en redes de servicio públicos gas
5400966;1/08/2022;11 Suba;COMPARTIR SUBA;N/A;CL 151A 117 26;Caida de árbol - Pérdida de verticalidad de árbol
5400967;1/08/2022;14 Los Martires;EL PROGRESO;N/A;KR 19 5B 0;Caida de árbol - Caída de ramas
5400968;1/08/2022;9 Fontibon;EL CARMEN FONTIBON;N/A;CL 17 104B 3;Daño en redes de servicio públicos energía
5400969;1/08/2022;3 Santa Fe;LOS LACHES;N/A;KR 5B ESTE 3B 30;Caida de árbol - Pérdida de verticalidad de árbol
5400970;1/08/2022;1 Usaquen;RINCON DEL CHICO;N/A;KR 15 103 37;Rescate en Espacios Confinados - En Ascensores
5400971;1/08/2022;18 Rafael Uribe Uribe;URB. GUIPARMA;N/A;CL 49B SUR 9 89;Daño en redes de servicio públicos gas
5400973;1/08/2022;2 Chapinero;LA SALLE;N/A;CL 61 3B 66;Rescate en Espacios Confinados - En Ascensores
5400974;1/08/2022;10 Engativa;LOS LAURELES;N/A;KR 117 63F 6;Daño en redes de servicio públicos gas
5400975;1/08/2022;19 Ciudad Bolivar;VILLA GLORIA;N/A;CL 69I SUR 18L 0(18);Daño en redes de servicio públicos gas
5400976;1/08/2022;2 Chapinero;QUINTA CAMACHO;N/A;CL 71 12 0;Daño en redes de servicio públicos energía
5400977;1/08/2022;12 Barrios Unidos;11 DE NOVIEMBRE;N/A;KR 29C 75 0;Daño en redes de servicio públicos energía
5400978;1/08/2022;19 Ciudad Bolivar;COLMENA;N/A;DG 64 BIS SUR 19C 77;Animales Peligrosos
5400979;1/08/2022;1 Usaquen;SANTA BARBARA OCCIDENTAL;N/A;KR 23 118 22;Daño en redes de servicio públicos energía
5400980;1/08/2022;8 Kennedy;CIUDAD DE CALI;N/A;CL 42 SUR 87G 21;Daño en redes de servicio públicos alcantarillado
5400981;1/08/2022;10 Engativa;SAN JOSE OBRERO;N/A;KR 116B 70C 19;Daño en redes de servicio públicos energía
5400982;1/08/2022;19 Ciudad Bolivar;MIRADOR DE LA ESTANCIA;N/A;CL 63A SUR 75H 2;Daño en redes de servicio públicos energía
5400983;1/08/2022;3 Santa Fe;SAN_MARTIN;N/A;CL 30 5 78;Animales Peligrosos
5400984;1/08/2022;7 Bosa;SAN BERNARDINO XXII;N/A;CL 83 SUR 94 89;Animales Peligrosos
5400985;1/08/2022;4 San Cristobal;LOS LAURELES SUR ORIENTAL I SECTOR;N/A;CL 11B SUR 23 ESTE 17;Animales Peligrosos
5400986;1/08/2022;10 Engativa;FLORIDA BLANCA;N/A;KR 94 70 0;Animales Peligrosos
5400987;1/08/2022;16 Puente Aranda;AUTOPISTA SUR;N/A;KR 51 39 SUR 14;Animales Peligrosos
5400988;1/08/2022;18 Rafael Uribe Uribe;GRANJAS DE SAN PABLO;N/A;KR 13H 40A SUR;Caida de árbol - Caída de ramas
5400989;1/08/2022;5 Usme;EL NEVADO;N/A;TV 2B ESTE 68D SUR 11;Daño en redes de servicio públicos energía
5400990;1/08/2022;3 Santa Fe;LAS NIEVES;N/A;CL 24 6A 43;Animales Peligrosos
5400991;1/08/2022;16 Puente Aranda;ALCALA;N/A;KR 52A 31 SUR 0;Daño en redes de servicio públicos energía
5400992;1/08/2022;8 Kennedy;NUEVA TIMIZA;N/A;CL 45 SUR 78D 52;Daño en redes de servicio públicos acueducto
5400993;1/08/2022;10 Engativa;CENTRO ENGATIVA II - URB. EBENEZER;N/A;TV 113 66 95;Daño en redes de servicio públicos alcantarillado
5400994;1/08/2022;16 Puente Aranda;LA ALQUERIA;N/A;AK 68 43A SUR 36;Escape de gas - Daño en redes domiciliarias de servicio públicos gas
5400995;1/08/2022;10 Engativa;SANTA HELENITA;N/A;CL 70 78A 00;Conato de incendio
5400996;1/08/2022;9 Fontibon;BAHIA SOLANO;N/A;KR 113 16H 34;Animales Peligrosos
5400997;1/08/2022;16 Puente Aranda;ORTEZAL;N/A;CL 20B 42 60;Escape de gas - Daño en redes domiciliarias de servicio públicos gas
5400998;1/08/2022;19 Ciudad Bolivar;CARACOLI;N/A;KR 74B 77 SUR 70;Daño en redes de servicio públicos energía
5400999;1/08/2022;10 Engativa;SANTA HELENITA;N/A;KR 51 38B SUR 14;Escape de gas - Daño en redes domiciliarias de servicio públicos gas
5401000;1/08/2022;11 Suba;SAN ANDRES AFIDRO;N/A;CL 143 127F 6;Animales Peligrosos
5401001;1/08/2022;16 Puente Aranda;LA ALQUERIA;N/A;AK 68 43 SUR 00;Escape de gas - Daño en redes domiciliarias de servicio públicos gas
5401002;1/08/2022;11 Suba;EL PLAN;N/A;KR 59 152B 79;Rescate en Espacios Confinados - En Ascensores
5401003;1/08/2022;1 Usaquen;LA CALLEJA;N/A;AK 45 127 00;Caida de árbol
5401004;1/08/2022;13 Teusaquillo;EL CAMPIN;N/A;CL 68F 25 57;Animales Peligrosos
5401005;1/08/2022;16 Puente Aranda;LAS CARABELAS;N/A;CL 1 37A 49;Caida de árbol
5401006;1/08/2022;8 Kennedy;PATIO BONITO;N/A;CL 40 SUR 86 00;Conato de incendio
5401007;1/08/2022;7 Bosa;SAN BERNARDINO;N/A;KR 95 72 SUR 46;Conato de incendio
5401008;1/08/2022;16 Puente Aranda;SANTA ISABEL OCCIDENTAL;N/A;KR 31A 2 0;Animales Peligrosos
5401009;1/08/2022;19 Ciudad Bolivar;ESPINOS I;N/A;KR 77C 67A SUR 2;Animales Peligrosos
5401010;1/08/2022;7 Bosa;EL LIBERTADOR II;N/A;CL 59A SUR 87K 20;Daño en redes de servicio públicos alcantarillado
5401011;1/08/2022;13 Teusaquillo;GALERIAS;N/A;KR 24 53 94;Conato de incendio
5401012;1/08/2022;4 San Cristobal;EL RAMAJAL;N/A;KR 9 ESTE 30 SUR 0;Daño en redes de servicio públicos acueducto
5401013;1/08/2022;6 Tunjuelito;NUEVO MUZU II SECTOR 1 A ETAPA;N/A;DG 52B SUR 54A 11;Daño en redes de servicio públicos energía
5401014;1/08/2022;19 Ciudad Bolivar;ISMAEL PERDOMO;N/A;CL 65 SUR 73C 42;Daño en redes de servicio públicos de teléfono
5401015;1/08/2022;1 Usaquen;SANTA ANA OCCIDENTAL;N/A;KR 7B 108A 0;Daño en redes de servicio públicos acueducto
5401016;1/08/2022;12 Barrios Unidos;POLO CLUB;N/A;AK 24 80 43;Daño en redes de servicio públicos acueducto
5401017;1/08/2022;7 Bosa;NUEVO CHILE;N/A;CL 56D SUR 72D 23;Hallazgo de materiales peligrosos
5401018;2/08/2022;11 Suba;NUEVA TIBABUYES;N/A;CL 132 123A 1;Quemas
5401019;2/08/2022;7 Bosa;SAN BERNARDINO XIX;N/A;CL 71 SUR 91 0;Daño en redes de servicio públicos acueducto
5401020;2/08/2022;12 Barrios Unidos;POLO CLUB;N/A;KR 22 82 0(95);Daño en redes de servicio públicos acueducto
5401021;2/08/2022;1 Usaquen;NUEVO COUNTRY;N/A;KR 12C 135 43;Caida de árbol
5401022;2/08/2022;10 Engativa;QUIRIGUA CENTRAL;N/A;TV 90D 85 21;Daño en redes de servicio públicos energía
5401023;2/08/2022;7 Bosa;SANTA BARBARA;N/A;KR 104A BIS 61A SUR 59;Daño en redes de servicio públicos energía
5401024;2/08/2022;1 Usaquen;NUEVO COUNTRY;N/A;KR 12C 135 43;Caida de árbol
5401025;2/08/2022;14 Los Martires;SAMPER MENDOZA;N/A;CL 22A 22 55;Daño en redes de servicio públicos gas
5401026;2/08/2022;6 Tunjuelito;SAN CARLOS;N/A;CL 53 SUR 18 48;Animales Peligrosos
5401027;2/08/2022;11 Suba;SUBA;N/A;KR 118 143A;Caida de árbol - Pérdida de verticalidad de árbol
5401028;2/08/2022;18 Rafael Uribe Uribe;RESURRECCION;N/A;DG 32C BIS A SUR 12G 20;Animales Peligrosos
5401029;2/08/2022;1 Usaquen;NUEVO COUNTRY;N/A;KR 12C 135 11;Caida de árbol
5401030;2/08/2022;12 Barrios Unidos;11 DE NOVIEMBRE;N/A;AC 72 28B 00;Daño en redes de servicio públicos alcantarillado
5401031;2/08/2022;5 Usme;CHICO;N/A;CL 98 SUR 0 ESTE 20;Daño en redes de servicio públicos energía
5401032;2/08/2022;19 Ciudad Bolivar;MEISSEN;N/A;KR 18B 60G SUR 42;Daño en redes de servicio públicos energía
5401033;2/08/2022;8 Kennedy;DINDALITO;N/A;KR 86 42B SUR 51;Escape de gas - Daño en redes domiciliarias de servicio públicos gas
5401034;2/08/2022;8 Kennedy;CARVAJAL II;N/A;CL 37 SUR 72L 60;Caida de árbol
5401035;2/08/2022;16 Puente Aranda;GALAN;N/A;AC 3 60 1;Caida de árbol
5401036;2/08/2022;11 Suba;LAS VILLAS SECTOR III;N/A;KR 58 127D 44;Daño en redes de servicio públicos gas
5401037;2/08/2022;1 Usaquen;CEDRITOS;N/A;CL 146 13 91;Daño en redes de servicio públicos alcantarillado
5401038;2/08/2022;12 Barrios Unidos;LA PAZ;N/A;AK 30 64A 0;Daño en redes de servicio públicos energía
5401039;2/08/2022;1 Usaquen;LA CALLEJA;N/A;AC 127 21 0;Daño en redes de servicio públicos acueducto
5401040;2/08/2022;8 Kennedy;VILLA ALSACIA CIUDADELA;N/A;CL 12C 71C 61;Animales Peligrosos
5401041;2/08/2022;11 Suba;VILLA CINDY;N/A;KR 138B 159B 21;Animales Peligrosos
5401042;2/08/2022;13 Teusaquillo;NICOLAS DE FEDERMAN;N/A;KR 45 58A 10;Animales Peligrosos
5401043;2/08/2022;3 Santa Fe;LA MACARENA;N/A;KR 4 26D;Daño en redes de servicio públicos de teléfono
5401044;2/08/2022;10 Engativa;AGUAS CLARAS;N/A;KR 82 73A 69;Animales Peligrosos
5401045;2/08/2022;19 Ciudad Bolivar;JUAN JOSE RONDON LA CASONA;N/A;CL 68F BIS SUR 20 16;Animales Peligrosos
5401046;2/08/2022;10 Engativa;GRAN GRANADA;N/A;KR 113A 78 43;Quemas
5401047;2/08/2022;12 Barrios Unidos;11-nov;N/A;KR 29B BIS 75 0;Daño en redes de servicio públicos de teléfono
5401048;2/08/2022;13 Teusaquillo;QUINTA PAREDES;N/A;CL 24D 43A 64;Daño en redes de servicio públicos energía
5401049;2/08/2022;8 Kennedy;CARVAJAL II;N/A;CL 37 SUR 72L 71;Poda y Tala
5401050;2/08/2022;5 Usme;EL PORTAL DEL DIVINO;N/A;CL 111A SUR 8C ESTE 36;Daño en redes de servicio públicos gas
5401051;2/08/2022;7 Bosa;TROPEZON;N/A;TV 87 58 SUR 0;Animales Peligrosos
5401052;2/08/2022;5 Usme;OLARTE;N/A;KM 3.5;Accidente de tránsito
5401053;2/08/2022;19 Ciudad Bolivar;LAS HUERTA;N/A;CL 62D SUR 75H 14;Daño en redes de servicio públicos gas
5401054;2/08/2022;7 Bosa;EL RECREO - AGRUPACIÓN VILLAS DE VIZCAYA 8;N/A;KR 100A 73 SUR 14;Incendio Estructuras
5401055;2/08/2022;14 Los Martires;SANTA FE;N/A;AK 14 24 1;Animales Peligrosos
5401056;2/08/2022;5 Usme;PUERTA AL LLANO II;N/A;KR 8F ESTE 107A SUR 17;Animales Peligrosos
5401057;2/08/2022;2 Chapinero;EMAUS;N/A;KR 4 70A 0;Riesgo de colapso estructural
5401058;2/08/2022;16 Puente Aranda;LA CAMELIA;N/A;TV 53 BIS 2B 4;Daño en redes de servicio públicos energía
5401059;2/08/2022;18 Rafael Uribe Uribe;DIANA TURBAY;N/A;KR 5 49 SUR 48;Quemas
5401060;2/08/2022;8 Kennedy;VILLA NELLY;N/A;KR 80D 42C SUR 58;Daño en redes de servicio públicos acueducto
5401061;2/08/2022;2 Chapinero;CHICO NORTE - URB. LA GRAN VIA;N/A;AC 100 7 1;Animales Peligrosos
5401062;2/08/2022;19 Ciudad Bolivar;URB. KALAMARY;N/A;CL 58A SUR 49A 9;Escape de gas
5401063;2/08/2022;18 Rafael Uribe Uribe;SANTA LUCIA;N/A;CL 44 SUR 20 46;Escape de gas
5401064;2/08/2022;4 San Cristobal;LAS GUACAMAYAS;N/A;CL 37B SUR 1C ESTE 49;Incendio Vehicular
5401065;2/08/2022;1 Usaquen;TORCA;N/A;KR 7 244;Escape de gas
5401066;2/08/2022;5 Usme;CIUDADELA DE USME LA ESPERANZA I ETAPA;N/A;CL 139 SUR 14H 40;Daño en redes de servicio públicos energía
5401067;2/08/2022;9 Fontibon;VILLA ANDREA;N/A;CL 17C 134 70;Animales Peligrosos
5401068;2/08/2022;5 Usme;LA REFORMA;N/A;CL 88B SUR 6 ESTE 1;Animales Peligrosos
5401069;2/08/2022;19 Ciudad Bolivar;CC ENSUEÑO;N/A;AV VILLAVICENCIO;Animales Peligrosos
5401070;2/08/2022;11 Suba;PARQUE MIRADOR DE LOS NEVADOS;N/A;KR 87 145 50;Caida de árbol - Pérdida de verticalidad de árbol
5401071;2/08/2022;11 Suba;JULIO FLOREZ;N/A;TV 60 114 41;Daño o falla estructural
5401072;2/08/2022;1 Usaquen;ACACIAS;N/A;CL 144 12 44;Rescate en Espacios Confinados - En Ascensores
5401073;2/08/2022;3 Santa Fe;LA MACARENA;N/A;KR 4 26C 45;Daño en redes de servicio públicos energía
5401074;2/08/2022;9 Fontibon;EL REFUGIO LA ZELFITA;N/A;AC 24 116 39;Daño en redes de servicio públicos energía
5401075;3/08/2022;5 Usme;MONTEBLANCO;N/A;CL 93B SUR 14I 8;Quemas - Basuras
5401076;3/08/2022;5 Usme;LA AURORA_;N/A;KR 14P 71F SUR 14;Daño en redes de servicio públicos acueducto
5401077;3/08/2022;10 Engativa;LAS FERIAS;N/A;CL 72 68G 0;Quemas - Basuras
5401078;3/08/2022;19 Ciudad Bolivar;SAN FRANCISCO;N/A;KR 23 68 SUR 24;Daño en redes de servicio públicos energía
5401079;3/08/2022;1 Usaquen;SAN PATRICIO;N/A;CL 114A 18A 41;Caida de árbol
5401080;3/08/2022;16 Puente Aranda;GALAN;N/A;AC 3 62 1;Caida de árbol - Pérdida de verticalidad de árbol
5401081;3/08/2022;6 Tunjuelito;SAN CARLOS;N/A;CL 55 SUR 19B 26;Animales Peligrosos
5401082;3/08/2022;16 Puente Aranda;PRIMAVERA NORTE;N/A;KR 43B 5A 75;Caida de árbol
5401083;3/08/2022;12 Barrios Unidos;11 DE NOVIEMBRE;N/A;KR 29B BIS 75 0;Caida de árbol - Caída de ramas
5401084;3/08/2022;9 Fontibon;EL TINTAL A.S.D.;N/A;AK 86 19 0;Derrame de aceite o gasolina en vía pública
5401085;3/08/2022;13 Teusaquillo;BELALCAZAR;N/A;CL 45A 25A 48;Quemas
5401086;3/08/2022;11 Suba;PRQ MIRADOR DE LOS NEVADOS;N/A;KR 86A 145 80;Caida de árbol
5401087;3/08/2022;8 Kennedy;ROMA - BERTHA HERNANDEZ DE OSPINA I Y III;N/A;KR 78M 57A SUR 0;Animales Peligrosos
5401088;3/08/2022;8 Kennedy;ARGELIA;N/A;AK 72 38A SUR 11;Derrame de aceite o gasolina en vía pública
5401089;3/08/2022;5 Usme;SAN CRISTOBAL;N/A;CL 106 SUR 4 ESTE 12;Caida de árbol
5401090;3/08/2022;11 Suba;COMPARTIR SUBA;N/A;CL 151A 117 66;Daño en redes de servicio públicos gas
5401091;3/08/2022;11 Suba;S C. CASABLANCA SUBA;N/A;CL 201 49 0;Daño en redes de servicio públicos acueducto
5401092;3/08/2022;8 Kennedy;MANDALAY;N/A;CL 5 78 41;Daño en redes de servicio públicos acueducto
5401093;3/08/2022;16 Puente Aranda;LA PRIMAVERA;N/A;CL 4F 39C;Poda y Tala
5401094;3/08/2022;8 Kennedy;EL PATIO III SECTOR;N/A;KR 88F BIS 5A SUR;Conato de incendio
5401095;3/08/2022;3 Santa Fe;LA CRUZ;N/A;LA CRUZ;Persona desaparecida
5401096;3/08/2022;8 Kennedy;NUEVA MARSELLA I SECTOR;N/A;AC 6 69C 55;Quemas - Basuras
5401097;3/08/2022;6 Tunjuelito;SAN CARLOS;N/A;AVENIDA CIUDAD DE VILLAVICENCIO CL 51 SUR;Daño en redes de servicio públicos alcantarillado
5401098;3/08/2022;7 Bosa;GRANCOLOMBIANO I;N/A;CL 74C BIS SUR 80K 17;Caida de árbol
5401099;3/08/2022;4 San Cristobal;BUENOS_AIRES;N/A;KR 3 ESTE 6A SUR 29;Riesgo de colapso estructural
5401100;3/08/2022;16 Puente Aranda;CIUDAD MONTES III SECTOR;N/A;KR 51 18 SUR 0;Caida de árbol - Pérdida de verticalidad de árbol
5401101;3/08/2022;9 Fontibon;MODELIA;N/A;CL 24C 72B 33;Caida de árbol - Caída de ramas
5401102;3/08/2022;11 Suba;GRANADA NORTE;N/A;CL 169 53 0;Caida de árbol - Caída de ramas
5401103;3/08/2022;13 Teusaquillo;LA ESMERALDA;N/A;AK 50 44D 55;Caida de árbol - Pérdida de verticalidad de árbol
5401104;3/08/2022;4 San Cristobal;LA VICTORIA;N/A;KR 3B ESTE 37A SUR 57;Caida de árbol - Pérdida de verticalidad de árbol
5401105;3/08/2022;7 Bosa;PIAMONTE I ETAPA;N/A;TV 79 68D SUR 36;Caida de árbol - Pérdida de verticalidad de árbol
5401106;3/08/2022;13 Teusaquillo;CHAPINERO OCCIDENTAL;N/A;CL 55 14 86;Conato de incendio
5401107;3/08/2022;13 Teusaquillo;TEUSAQUILLO;N/A;DG 22B 52 01;Caida de árbol - Pérdida de verticalidad de árbol
5401108;3/08/2022;3 Santa Fe;LOURDES II;N/A;KR 2A 4 52;Poda y Tala
5401109;3/08/2022;9 Fontibon;BOSTON;N/A;CL 17 105 0;Daño en redes de servicio públicos energía
5401110;3/08/2022;9 Fontibon;HAYUELOS;N/A;CL17 82 67;Quemas
5401111;3/08/2022;9 Fontibon;EL CHARCO;N/A;KR 123 14B 46;Rescate en Espacios Confinados - En Ascensores
5401112;3/08/2022;4 San Cristobal;LA VICTORIA;N/A;KR 3B ESTE 37A SUR 57;Caida de árbol - Pérdida de verticalidad de árbol
5401113;3/08/2022;11 Suba;SAN JOSE DEL PRADO;N/A;CL 135A 53B 31;Daño en redes de servicio públicos gas
5401114;4/08/2022;13 Teusaquillo;TEUSAQUILLO;N/A;KR 21 33A 41;Daño en redes de servicio públicos acueducto
5401115;4/08/2022;3 Santa Fe;ATANASIO GIRARDOT;N/A;KR 1A 1F 30;Daño en redes de servicio públicos energía
5401116;4/08/2022;19 Ciudad Bolivar;ARBORIZADORA ALTA;N/A;DG 69 SUR 43B 20;Animales Peligrosos
5401117;4/08/2022;11 Suba;VILLA MARIA;N/A;KR 112 138A 14;Daño en redes de servicio públicos energía
5401118;4/08/2022;19 Ciudad Bolivar;CASA LOMA II;N/A;KR 74D 62F SUR 41;Daño en redes de servicio públicos acueducto
5401119;4/08/2022;1 Usaquen;RECODO DEL COUNTRY;N/A;CL 128 9A 60;Caida de árbol - Pérdida de verticalidad de árbol
5401120;4/08/2022;13 Teusaquillo;CIUDAD SALITRE NORORIENTAL;N/A;CL 24A 57 69;Caida de árbol - Pérdida de verticalidad de árbol
5401121;4/08/2022;1 Usaquen;LISBOA;N/A;AC 134 9 0;Animales Peligrosos
5401122;4/08/2022;1 Usaquen;DELICIAS DEL CARMEN;N/A;KR 2 BIS 127A 30;Caida de árbol - Pérdida de verticalidad de árbol
5401123;4/08/2022;12 Barrios Unidos;METROPOLIS;N/A;CL 78 66 44;Caida de árbol - Caída de ramas
5401124;4/08/2022;16 Puente Aranda;CAMELIA II SECTOR;N/A;CL 1B SUR 55 27;Caida de árbol
5401125;4/08/2022;11 Suba;SAN NICOLAS;N/A;DG 115A 70B 40;Caida de árbol
5401126;4/08/2022;19 Ciudad Bolivar;PATICOS;N/A;DG 91C SUR 18G 18;Daño en redes de servicio públicos gas
5401127;4/08/2022;9 Fontibon;LA ESPERANZA_;N/A;CL 23C 72B 30;Daño en redes de servicio públicos gas
5401128;4/08/2022;4 San Cristobal;GRAN COLOMBIA;N/A;CL 11 SUR 22 ESTE 55;Daño en redes de servicio públicos de teléfono
5401129;4/08/2022;1 Usaquen;SAN CRISTOBAL NORTE 2;N/A;CL 164B BIS 8B 2;Caida de árbol
5401130;4/08/2022;16 Puente Aranda;LAS CARABELAS;N/A;CL 1 37A 49;Caida de árbol - Pérdida de verticalidad de árbol
5401131;4/08/2022;19 Ciudad Bolivar;ALTOS DE JALISCO;N/A;KR 18J 62A SUR 0;Accidente de tránsito
5401132;4/08/2022;11 Suba;LOS ALMENDROS DEL NORTE;N/A;KR 114B 151D 16;Caida de árbol - Pérdida de verticalidad de árbol
5401133;4/08/2022;10 Engativa;LA SOLEDAD NORTE;N/A;CL 74 BIS 83 16;Quemas
5401134;4/08/2022;1 Usaquen;USAQUEN;N/A;CL 121C 6 47;Incendio Estructuras
5401135;4/08/2022;5 Usme;NUEVA ESPERANZA;N/A;CL 48X BIS SUR 0 ESTE 44;Daño en redes de servicio públicos energía
5401136;4/08/2022;6 Tunjuelito;SAN CARLOS;N/A;KR 19C 55 06;Daño en redes de servicio públicos energía
5401137;4/08/2022;2 Chapinero;CHICO NORTE;N/A;CL 92 11 32;Daño en redes de servicio públicos acueducto
5401138;4/08/2022;10 Engativa;LOS ANGELES;N/A;CL 64F 99 63;Daño o falla estructural
5401139;4/08/2022;9 Fontibon;URB. AVENIDA CENTENARIO;N/A;KR 104 16 20;Conato de incendio
5401140;4/08/2022;1 Usaquen;SAN PATRICIO;N/A;AK 45 114 44;Conato de incendio
5401141;4/08/2022;7 Bosa;CO MANZANA 52;N/A;KR 95A 54F SUR 02;Conato de incendio
5401142;4/08/2022;3 Santa Fe;SANTA INES;N/A;AK 10 6 1;Derrame de aceite o gasolina en vía pública
5401143;4/08/2022;11 Suba;PRADOS DE SANTA BARBARA;N/A;CL 128 121B 16;Daño en redes de servicio públicos acueducto
5401144;4/08/2022;11 Suba;MIRADOR DE LA CAMPINA II SECTOR;N/A;CL 147C 92 0;Poda y Tala
