"Identificador","Fecha reporte","Localidad","Barrio","Upz","Dirección","Tipo de afectación","Factor Humano"
"5397021","5/19/2022","11 Suba","TIERRA LINDA","1 Paseo de los Libertadores","CL 127A 40 67","Daño en redes de servicio públicos gas","Si"
"5397020","5/19/2022","9 FontibÃ³n","VILLEMAR FONTIBON","75 - FONTIBON","CL 17A 96B 90","Daño en redes de servicio públicos acueducto","Si"
"5397019","5/19/2022","11 Suba","TIERRA LINDA","19 - EL PRADO","KR 51 127A","Daño en redes de servicio públicos gas","Si"
"5397018","5/19/2022","1 UsaquÃ©n","LAS ACASIAS","13 - LOS CEDROS","CL 146 7F 51","Daño en redes de servicio públicos acueducto","Si"
"5397017","5/19/2022","11 Suba","NUEVA ZELANDIA","17 - SAN JOSE DE BAVARIA","CL 176 54 15","Rescate en Espacios Confinados - En Ascensores","Si"
"5397016","5/19/2022","3 Santa Fe","LAS NIEVES","93 - LAS NIEVES","CL 22 5 39","Caida de árbol","No"
"5397015","5/19/2022","19 Ciudad BolÃ­var","SUMAPAZ","67 - LUCERO","KR 18N 66A SUR 28","Daño en redes de servicio públicos acueducto","Si"
"5397014","5/19/2022","19 Ciudad BolÃ­var","SUMAPAZ","67 - LUCERO","CL 67A SUR 18N 32","Daño en redes de servicio públicos acueducto","Si"
"5397013","5/19/2022","10 Engativa","LA ESTRADA","26 - LAS FERIAS","KR 69G 68 83","Daño en redes de servicio públicos gas","Si"
"5397012","5/19/2022","13 Teusaquillo","LAS AMERICAS","101 - TEUSAQUILLO","CL 39 No. 27- 35","Desechos en via pública","Si"
"5397011","5/19/2022","17 La Candelaria","EL GUAVIO EGIPTO","94 - LA CANDELARIA","AK 3 ESTE 6 0","Daño en redes de servicio públicos energía","Si"
"5397010","5/19/2022","15 Antonio NariÃ±o","RESTREPO OCCIDENTAL","38 - RESTREPO","CL 15 SUR 26 26","Daño en redes de servicio públicos energía","Si"
"5397009","5/19/2022","19 Ciudad BolÃ­var","ARBORIZADORA ALTA","70 - JERUSALEM","CL 75A SUR 39 34","Daño en redes de servicio públicos energía","Si"
"5397008","5/19/2022","19 Ciudad BolÃ­var","LA CONCEPCION","67 - LUCERO","KR 20 71B SUR 13","Daño en redes de servicio públicos energía","Si"
"5397007","5/19/2022","11 Suba","VICTORIA NORTE","19 - EL PRADO","CL 147A 48 0","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5397006","5/19/2022","7 Bosa","SANTA FE DE BOSA","86 - EL PORVENIR","CL 58 SUR 98A 39","Daño en redes de servicio públicos alcantarillado","Si"
"5397005","5/19/2022","17 La Candelaria","LAS AGUAS","94 - LA CANDELARIA","CL 17 2 35","Daño en redes de servicio públicos energía","Si"
"5397004","5/19/2022","17 La Candelaria","LAS AGUAS","94 - LA CANDELARIA","CL 17 2 35","Daño en redes de servicio públicos acueducto","Si"
"5397003","5/19/2022","11 Suba","EL PLAN","N/A","AV BOYACA 147B 04","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5397002","5/19/2022","1 UsaquÃ©n","SANTA ANA ORIENTAL","14 - USAQUEN","KR 7 109","Poda y Tala","Si"
"5397001","5/19/2022","5 Usme","ARRAYANES","56 - DANUBIO","KR 1 63 SUR 1","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5397000","5/19/2022","4 San Cristobal","QUINTA RAMOS","33 - SOSIEGO","CL 12 SUR 7 0","Daño en redes de servicio públicos acueducto","Si"
"5396999","5/19/2022","15 Antonio NariÃ±o","CIUDAD VILLAMAYOR ANTIGUA","38 - RESTREPO","KR 34B 38A SUR 15","Quemas - Desechos o material vegetal","Si"
"5396998","5/19/2022","16 Puente Aranda","PRIMAVERA OCCIDENTAL","40 - CIUDAD MONTES","CL 6 39B 95","Daño en redes de servicio públicos gas","Si"
"5396997","5/19/2022","8 Kennedy","EL ALMENAR","81 - GRAN BRITALIA","CL 48 SUR 80C 18","Daño en redes de servicio públicos gas","Si"
"5396996","5/19/2022","5 Usme","TOCAIMITA","N/A","POLIGONO 037B","Fenómeno de Remoción en Masa",""
"5396995","5/19/2022","8 Kennedy","EL ALMENAR","81 - GRAN BRITALIA","KR 80D 48A SUR 14","Daño en redes de servicio públicos gas","Si"
"5396994","5/19/2022","19 Ciudad BolÃ­var","MINUTO DE LA MARIA","68 - EL TESORO","KR 18C 81 SUR 43","Daño o falla estructural","Si"
"5396993","5/19/2022","1 UsaquÃ©n","PARQUES DE LORENA","13 - LOS CEDROS","KR 14 152 0","Caida de árbol","No"
"5396992","5/19/2022","5 Usme","ARRAYANES","56 - DANUBIO","CL 63 SUR 1A 63","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5396991","5/19/2022","8 Kennedy","CASTILLA","N/A","AC 8 78C 10","Daño en redes de servicio públicos gas","Si"
"5396990","5/19/2022","9 FontibÃ³n","MONTEVIDEO","112 - GRANJAS DE TECHO","CL 17 68D 39","Caida de árbol - Caída de ramas","No"
"5396989","5/19/2022","13 Teusaquillo","BELALCAZAR","100 - GALERIAS","KR 27 47A 25","Quemas - Basuras","Si"
"5396988","5/19/2022","13 Teusaquillo","LAS AMERICAS","101 - TEUSAQUILLO","AK 30 40A 10","Riesgo de colapso estructural","No"
"5396987","5/19/2022","13 Teusaquillo","LA SOLEDAD","101 - TEUSAQUILLO","CL 41 24 38","Daño en redes de servicio públicos energía","Si"
"5396985","5/19/2022","2 Chapinero","LAGO GAITAN","97 - CHICO LAGO","CL 77A 14","Daño en redes de servicio públicos alcantarillado","Si"
"5396984","5/19/2022","2 Chapinero","PARDO RUBIO NOROCCIDENTAL","90 - PARDO RUBIO","KR 5A ESTE 49A 18","Caida de árbol","No"
"5396983","5/19/2022","18 Rafael Uribe Uribe","EL SOCORRO I","54 - MARRUECOS","CL 50A SUR 12A 7","Daño en redes de servicio públicos acueducto","Si"
"5396982","5/19/2022","10 Engativa","LOS CEREZOS","29 - MINUTO DE DIOS","DG 91 86A 25","Daño en redes de servicio públicos acueducto","Si"
"5396981","5/19/2022","2 Chapinero","CHAPINERO","N/A","CIRCUNVALAR 84","Derrame de aceite o gasolina en vía pública","Si"
"5396980","5/19/2022","3 Santa Fe","EL CONSUELO","96 - LOURDES","KR 11 ESTE 1B 30","Daño en redes de servicio públicos energía","Si"
"5396979","5/19/2022","6 Tunjuelito","NUEVO MUZU","42 - VENECIA","KR 61A 52 05 SUR","Caida de árbol - Caída de ramas","No"
"5396978","5/19/2022","8 Kennedy","BERTHA HERNANDEZ OSPINA I","48 - TIMIZA","KR 79 BIS 55 SUR 33","Daño en redes de servicio públicos alcantarillado","Si"
"5396977","5/19/2022","10 Engativa","EL DORADO","74 - ENGATIVA","CL 64 128","Caida de árbol","No"
"5396976","5/19/2022","19 Ciudad BolÃ­var","LA CONCEPCION","67 - LUCERO","CL 71A SUR 21 08","Fenómeno de Remoción en Masa",""
"5396975","5/19/2022","11 Suba","AURES II","28 - EL RINCON","CL 129 104B 4","Caida de árbol","No"
"5396974","5/19/2022","16 Puente Aranda","LA PRADERA","43 - SAN RAFAEL","KR 64A 4D 51","Daño en redes de servicio públicos energía","Si"
"5396973","5/19/2022","1 UsaquÃ©n","ESCUELA DE INFANTERIA","14 - USAQUEN","AK 7 100 1","Caida de árbol","No"
"5396972","5/19/2022","1 UsaquÃ©n","CAMPO ALEGRE","16 - SANTA BARBARA","CL 116 9 75","Daño en redes de servicio públicos energía","Si"
"5396971","5/19/2022","13 Teusaquillo","LA ESMERALDA","106 - LA ESMERALDA","KR 52 46 28","Conato de incendio","Si"
"5396970","5/19/2022","9 FontibÃ³n","VERSALLES","75 - FONTIBON","KR 107 22 65","Conato de incendio","Si"
"5396969","5/19/2022","18 Rafael Uribe Uribe","GUSTAVO RESTREPO","36 - SAN JOSE","KR 13H 30 SUR 10","Daño en redes de servicio públicos gas","Si"
"5396968","5/19/2022","12 Barrios Unidos","SIMON BOLIVAR","22 - DOCE DE OCTUBRE","KR 65 79 12","Daño en redes de servicio públicos acueducto","Si"
"5396967","5/19/2022","14 Los MÃ¡rtires","LA FAVORITA","102 - LA SABANA","CL 20 18 4","Daño en redes de servicio públicos gas","Si"
"5397075","5/20/2022","1 UsaquÃ©n","HORIZONTES","9 - VERBENAL","KR 5 185C 0(51)","Daño en redes de servicio públicos gas","Si"
"5397074","5/20/2022","10 Engativa","NORMANDIA","31 - SANTA CECILIA","KR 70 55 17","Accidente de tránsito","Si"
"5397073","5/20/2022","18 Rafael Uribe Uribe","SANTA LUCIA","39 - QUIROGA","KR 21 44 SUR 50","Conato de incendio","Si"
"5397072","5/20/2022","10 Engativa","VILLAS DE GRANADA","73 - GARCES NAVAS","KR 112 75 0","Daño en redes de servicio públicos acueducto","Si"
"5397071","5/20/2022","7 Bosa","OSORIO DIEZ","86 - EL PORVENIR","CL 50 SUR 95","Daño en redes de servicio públicos energía","Si"
"5397070","5/20/2022","19 Ciudad BolÃ­var","EL TESORO","N/A","TV 18R 82B SUR 17","Fenómeno de Remoción en Masa",""
"5397069","5/20/2022","8 Kennedy","VILLA ADRIANA","44 - AMERICAS","AK 68 18 SUR 9","Daño en redes de servicio públicos energía","Si"
"5397068","5/20/2022","1 UsaquÃ©n","LA CITA","11 - SAN CRISTOBAL NORTE","CL 166B 3B 22","Daño o falla estructural - Elementos no estructurales en riesgo de caída","Si"
"5397067","5/20/2022","13 Teusaquillo","GRAN AMERICA","107 - QUINTA PAREDES","KR 32 25B 53","Daño o falla estructural","Si"
"5397066","5/20/2022","9 FontibÃ³n","LA ESPERANZA NORTE","110 - CIUDAD SALITRE OCCIDENTAL","CL 25 69B 1","Daño en redes de servicio públicos acueducto","Si"
"5397065","5/20/2022","2 Chapinero","CHICO NORTE","88 - EL REFUGIO","KR 7A 94A 29","Daño en redes de servicio públicos gas","Si"
"5397064","5/20/2022","10 Engativa","URBANIZACION BOCHICA III - IV","72 - BOLIVIA","CL 83 96 51","Conato de incendio","Si"
"5397063","5/20/2022","4 San Cristobal","LA GLORIA","50 - LA GLORIA","TV 3B ESTE 46A SUR 35","Caida de árbol","No"
"5397062","5/20/2022","10 Engativa","LA ESTRADA","26 - LAS FERIAS","KR 69P 64D 0","Daño en redes de servicio públicos acueducto","Si"
"5397061","5/20/2022","1 UsaquÃ©n","SANTA BIBIANA","16 - SANTA BARBARA","KR 19A 97 0","Caida de árbol","No"
"5397060","5/20/2022","2 Chapinero","LAS ACACIAS","90 - PARDO RUBIO","AK 2 ESTE 70 1","Caida de árbol","No"
"5397059","5/20/2022","6 Tunjuelito","PARQUE EL TUNAL","N/A","AC 56A 24 SUR 1","Caida de árbol","No"
"5397058","5/20/2022","5 Usme","S.C EL MOCHUELO ORIENTAL","N/A","KR 14 65 SUR 0","Daño en redes de servicio públicos acueducto","Si"
"5397057","5/20/2022","11 Suba","EL BATAN","20 - LA ALHAMBRA","KR 53A 122 0","Caida de árbol","No"
"5397056","5/20/2022","16 Puente Aranda","LA ALQUERIA","41 - MUZU","AK 68 43A SUR 36","Daño en redes de servicio públicos gas","Si"
"5397055","5/20/2022","15 Antonio NariÃ±o","RESTREPO","38 - RESTREPO","CL 17 SUR 13 BIS 89","Caida de árbol","No"
"5397054","5/20/2022","5 Usme","VEREDA EL DESTINO","N/A","KM 8 VIA SAN JUAN DE SUMAPAZ","Fenómeno de Remoción en Masa",""
"5397053","5/20/2022","10 Engativa","ENGATIVA CENTRO","74 - ENGATIVA","CL 63L 124 38","Riesgo de colapso estructural","No"
"5397052","5/20/2022","2 Chapinero","LAGO GAITAN","97 - CHICO LAGO","KR 16A 80 63","Caida de árbol","No"
"5397051","5/20/2022","9 FontibÃ³n","LA ESPERANZA","114 - MODELIA","KR 72B 23C-65","Riesgo de colapso estructural","No"
"5397050","5/20/2022","10 Engativa","LOS ANGELES","73 - GARCES NAVAS","CL 69 96 34","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5397049","5/20/2022","12 Barrios Unidos","JORGE ELIECER GAITAN","22 - DOCE DE OCTUBRE","KR 56 79 7","Riesgo de colapso estructural","No"
"5397048","5/20/2022","10 Engativa","URBANIZACION EL GUALI","26 - LAS FERIAS","CL 64C 68B 98","Caida de árbol","No"
"5397047","5/20/2022","1 Usaquen","SAN VIATOR","N/A","AUTOPISTANORTE 205 SENTIDO SUR NORTE","Daños en malla vial","Si"
"5397046","5/20/2022","1 UsaquÃ©n","EL VERBENAL","9 - VERBENAL","CL 185 13 0","Caida de árbol - Caída de ramas","No"
"5397045","5/20/2022","12 Barrios Unidos","ONCE DE NOVIEMBRE","98 - LOS ALCAZARES","KR 29C 75 22","Caida de árbol","No"
"5397044","5/20/2022","11 Suba","GRANADA NORTE","18 - BRITALIA","CL 168 45 0","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5397043","5/20/2022","10 Engativa","GARCES NAVAS ORIENTAL","73 - GARCES NAVAS","KR 104 78C 29","Caida de árbol","No"
"5397042","5/20/2022","9 FontibÃ³n","CIUDAD SALITRE OCCIDENTAL","110 - CIUDAD SALITRE OCCIDENTAL","CL 25 68A 52","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5397041","5/20/2022","1 UsaquÃ©n","EL PAÃ‘UELITO","14 - USAQUEN","KR 1 127B 0","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5397040","5/20/2022","5 Usme","CURUBO","57 - GRAN YOMASA","CL 81A SUR 6 ESTE 40","Fenómeno de Remoción en Masa",""
"5397039","5/20/2022","19 Ciudad Bolivar","BRISAS DEL VOLADOR","N/A","KR 22 70A SUR 01","Fenómeno de Remoción en Masa",""
"5397038","5/20/2022","10 Engativa","PLAYAS DE JABOQUE","73 - GARCES NAVAS","CL 72F 112B 23","Daño en redes de servicio públicos gas","Si"
"5397037","5/20/2022","8 Kennedy","URBANIZACION CASTILLA REAL","46 - CASTILLA","TV 74 11A 35","Electrocución","Si"
"5397036","5/20/2022","6 Tunjuelito","LAGUNETA","42 - VENECIA","KR 54 45A SUR 19","Daño en redes de servicio públicos acueducto","Si"
"5397035","5/20/2022","1 UsaquÃ©n","ESTRELLA DEL NORTE","12 - TOBERIN","CL 159 17 38","Caida de árbol","No"
"5397034","5/20/2022","16 Puente Aranda","BATALLON CALDAS","111 - PUENTE ARANDA","KR 46 20C 79","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5397033","5/20/2022","16 Puente Aranda","REMANSO","40 - CIUDAD MONTES","KR 37 9 SUR 0","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5397032","5/20/2022","2 Chapinero","BELLAVISTA","88 - EL REFUGIO","KR 2A 72A 30","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5397031","5/20/2022","10 Engativa","EL CEDRO","73 - GARCES NAVAS","DG 71C 94A 70","Daño en redes de servicio públicos gas","Si"
"5397030","5/20/2022","11 Suba","NIZA SUBA","24 - NIZA","KR 79C 129 51","Caida de árbol","No"
"5397029","5/20/2022","19 Ciudad BolÃ­var","EL PARAISO","67 - LUCERO","CL 71D SUR 27K 13","Daño en redes de servicio públicos gas","Si"
"5397028","5/20/2022","4 San Cristobal","LA NUEVA GLORIA","51 - LOS LIBERTADORES","CL 46B SUR 7 ESTE 45","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5397027","5/20/2022","2 Chapinero","CHAPINERO","N/A","KM 6 ENTRADA ENCENILLO","Caida de árbol","No"
"5397026","5/20/2022","4 San Cristobal","ALTAMIRA","50 - LA GLORIA","KR 12 ESTE 43A SUR 7","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5397025","5/20/2022","15 Antonio NariÃ±o","LUNAPARK","38 - RESTREPO","KR 18A 10 SUR 51","Daño en redes de servicio públicos gas","Si"
"5397024","5/20/2022","10 Engativa","CIUDAD QUIRIGUA","29 - MINUTO DE DIOS","TV 94 84A","Daño en redes de servicio públicos acueducto","Si"
"5397023","5/20/2022","19 Ciudad BolÃ­var","POTOSI","70 - JERUSALEM","KR 45C 82C SUR 46","Fenómeno de Remoción en Masa",""
"5397022","5/20/2022","19 Ciudad BolÃ­var","JERUSALEN","70 - JERUSALEM","KR 46 68G SUR 8","Daño en redes de servicio públicos energía","Si"
"5397106","5/21/2022","9 FontibÃ³n","EL PORVENIR","77 - ZONA FRANCA","CL 14B 119A 17","Daño en redes de servicio públicos gas","Si"
"5397105","5/21/2022","12 Barrios Unidos","JOSE JOAQUIN VARGAS","22 - DOCE DE OCTUBRE","CL 67 63 86","Daño en redes de servicio públicos energía","Si"
"5397104","5/21/2022","7 Bosa","PARCELA EL PORVENIR","86 - EL PORVENIR","CL 53A SUR 89B","Conato de incendio","Si"
"5397103","5/21/2022","10 Engativa","SAN IGNACIO","31 - SANTA CECILIA","DG 47 75 8","Daño en redes de servicio públicos energía","Si"
"5397102","5/21/2022","8 Kennedy","VILLA ALSACIA 2","46 - CASTILLA","TV 78D 10C 92","Conato de incendio","Si"
"5397101","5/21/2022","7 Bosa","SAN JOSE","85 - BOSA CENTRAL","DG 74 SUR 79 31","Daño en redes de servicio públicos acueducto","Si"
"5397100","5/21/2022","11 Suba","VILLA DEL PRADO","17 - SAN JOSE DE BAVARIA","CL 174 57 30","Daño en redes de servicio públicos energía","Si"
"5397099","5/21/2022","9 FontibÃ³n","LA PERLA","76 - FONTIBON SAN PABLO","KR 120 18A 17","Daño en redes de servicio públicos acueducto","Si"
"5397098","5/21/2022","16 Puente Aranda","PENSILVANIA","108 - ZONA INDUSTRIAL","KR 34A 10 77","Conato de incendio","Si"
"5397097","5/21/2022","10 Engativa","LAS FERIAS OCCIDENTAL","26 - LAS FERIAS","KR 69K 78 23","Daño en redes de servicio públicos energía","Si"
"5397096","5/21/2022","5 Usme","PORTAL DEL DIVINO NINO","59 - ALFONSO LOPEZ","CL 111C SUR 10 ESTE 04","Riesgo de colapso estructural","No"
"5397095","5/21/2022","19 Ciudad BolÃ­var","EL MIRADOR","67 - LUCERO","DG 71 SUR 27A 69","Daño en redes de servicio públicos alcantarillado","Si"
"5397094","5/21/2022","13 Teusaquillo","CENTRO NARINO","N/A","AC 23 33 20","Incendio Vehicular","Si"
"5397093","5/21/2022","2 Chapinero","EL REFUGIO","88 - EL REFUGIO","CL 88 6 52","Caida de árbol","No"
"5397092","5/21/2022","1 UsaquÃ©n","SANTA BARBARA OCCIDENTAL","16 - SANTA BARBARA","CL 123 15A 0","Daño en redes de servicio públicos acueducto","Si"
"5397091","5/21/2022","16 Puente Aranda","GALAN","43 - SAN RAFAEL","KR 56 2 68","Daño en redes de servicio públicos energía","Si"
"5397090","5/21/2022","1 UsaquÃ©n","EL VERBENAL","9 - VERBENAL","CL 187 15B 77","Caida de árbol","No"
"5397089","5/21/2022","1 UsaquÃ©n","CAOBOS SALAZAR","13 - LOS CEDROS","CL 147 14B 40","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5397088","5/21/2022","5 Usme","N.N","N/A","CL 138C SUR 14K 26","Daño en redes de servicio públicos gas","Si"
"5397087","5/21/2022","18 Rafael Uribe Uribe","EL PLAYON","54 - MARRUECOS","CL 50 SUR 12A 07","Fenómeno de Remoción en Masa",""
"5397086","5/21/2022","3 Santa Fe","LA MACARENA","92 - LA MACARENA","CL 30A 3 80","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5397085","5/21/2022","11 Suba","CANTALEJO","18 - BRITALIA","CL 162 54 0","Caida de árbol","No"
"5397084","5/21/2022","1 UsaquÃ©n","MOLINOS NORTE","16 - SANTA BARBARA","KR 11C 110 6","Daño en redes de servicio públicos energía","Si"
"5397083","5/21/2022","8 Kennedy","DESARROLLO NUEVA YORK II","45 - CARVAJAL","AK 72 39C SUR 26","Derrame de aceite o gasolina en vía pública","Si"
"5397082","5/21/2022","19 Ciudad BolÃ­var","LA ACACIA","66 - SAN FRANCISCO","CL 61B SUR 19D 19","Daño en redes de servicio públicos gas","Si"
"5397081","5/21/2022","9 Fontibon","EL RUBY","N/A","CL 26C 96G","Conato de incendio","Si"
"5397080","5/21/2022","9 FontibÃ³n","LA ESPERANZA NORTE","110 - CIUDAD SALITRE OCCIDENTAL","KR 69B 25 0","Daño en redes de servicio públicos acueducto","Si"
"5397079","5/21/2022","19 Ciudad Bolivar","EL PORVENIR ZONA C","N/A","AC 57R SUR 76 45","Caida de árbol","No"
"5397078","5/21/2022","8 Kennedy","LA CHUCUA","45 - CARVAJAL","CL 41 SUR 72F 77","Daño en redes de servicio públicos acueducto","Si"
"5397077","5/21/2022","8 Kennedy","EL OLIVO","80 - CORABASTOS","CL 41G SUR 80F 89","Daño en redes de servicio públicos gas","Si"
"5397076","5/21/2022","10 Engativa","JARDIN BOTANICO","N/A","AC 26 69 76","Rescate en Espacios Confinados - En Ascensores","Si"
"5397129","5/22/2022","10 Engativa","LA ISABELA","116 - ALAMOS","KR 86 65B 1","Daño en redes de servicio públicos alcantarillado","Si"
"5397128","5/22/2022","8 Kennedy","CIUDAD GRANADA","82 - PATIO BONITO","KR 90C 40A SUR 6","Daño en redes de servicio públicos gas","Si"
"5397127","5/22/2022","8 Kennedy","AMERICAS OCCIDENTAL","44 - AMERICAS","CL 1 72B 53","Daño en redes de servicio públicos energía","Si"
"5397126","5/22/2022","8 Kennedy","AMERICA OCCIDENTAL III","44 - AMERICAS","KR 72B 1 11","Daño o falla estructural","Si"
"5397125","5/22/2022","10 Engativa","EL PALMAR","74 - ENGATIVA","KR 117A 66A 22","Conato de incendio","Si"
"5397124","5/22/2022","5 Usme","SAN GERMAN II","52 - LA FLORA","CL 74B SUR 13B ESTE 8","Conato de incendio","Si"
"5397123","5/22/2022","8 Kennedy","GIRALDILLA","47 - KENNEDY CENTRAL","TRASVERSAL 78G BIS 47 SUR","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5397122","5/22/2022","19 Ciudad BolÃ­var","I SECTOR","66 - SAN FRANCISCO","KR 22H 64 SUR 9","Conato de incendio","Si"
"5397121","5/22/2022","8 Kennedy","EL AMPARO","80 - CORABASTOS","KR 81C 42 SUR 18","Daño en redes de servicio públicos gas","Si"
"5397120","5/22/2022","8 Kennedy","SAN ANDRES","45 - CARVAJAL","CL 43A SUR 68G 33","Caida de árbol","No"
"5397119","5/22/2022","4 San Cristobal","SANTA INES","32 - SAN BLAS","KR 7 ESTE 28B SUR 45","Caída de Altura - Edificaciones","Si"
"5397118","5/22/2022","8 Kennedy","PALENQUE","48 - TIMIZA","CL 42 SUR 78D 0","Daño en redes de servicio públicos alcantarillado","Si"
"5397117","5/22/2022","5 Usme","SANTA MARTA","57 - GRAN YOMASA","KR 14 68B SUR 54","Conato de Incendio Forestal","Si"
"5397116","5/22/2022","14 Los MÃ¡rtires","EDUARDO SANTOS","37 - SANTA ISABEL","KR 18C 3 20","Daño en redes de servicio públicos energía","Si"
"5397115","5/22/2022","4 San Cristobal","SAN CRISTOBAL","32 - SAN BLAS","CL 13 SUR 10C ESTE 45","Daño en redes de servicio públicos acueducto","Si"
"5397114","5/22/2022","2 Chapinero","LAS ACACIAS","90 - PARDO RUBIO","KR 2 ESTE 70A 31","Caida de árbol - Caída de ramas","No"
"5397113","5/22/2022","10 Engativa","SAN IGNACIO","31 - SANTA CECILIA","DG 47 75 0","Daño en redes de servicio públicos energía","Si"
"5397112","5/22/2022","1 UsaquÃ©n","LOS CERROS DE SANTA CRIS","11 - SAN CRISTOBAL NORTE","CL 163 5 0","Daño en redes de servicio públicos acueducto","Si"
"5397111","5/22/2022","2 Chapinero","CHAPINERO NORTE","99 - CHAPINERO","CL 63 13 12","Daño en redes de servicio públicos energía","Si"
"5397110","5/22/2022","10 Engativa","SAN IGNACIO","31 - SANTA CECILIA","DG 47 76 41","Daño en redes de servicio públicos energía","Si"
"5397109","5/22/2022","19 Ciudad BolÃ­var","LA PREDERA","70 - JERUSALEM","KR 43 72B SUR 47","Incendio Estructuras","Si"
"5397108","5/22/2022","10 Engativa","SANTA HELENITA","30 - BOYACA REAL","KR 84 BIS 71B 53","Daño en redes de servicio públicos gas","Si"
"5397107","5/22/2022","15 Antonio NariÃ±o","CIUDAD BERNA","35 - CIUDAD JARDIN","CL 8 SUR 12 20","Daño en redes de servicio públicos acueducto","Si"
"5397182","5/23/2022","11 Suba","SANTA RITA","71 - TIBABUYES","KR 151D 139B 90","Daño en redes de servicio públicos gas","Si"
"5397181","5/23/2022","17 La Candelaria","SANTA BARBARA","94 - LA CANDELARIA","KR 9 6A","Daño en redes de servicio públicos gas","Si"
"5397180","5/23/2022","10 Engativa","EL ENCANTO","31 - SANTA CECILIA","KR 74A 63F 00","Explosión","Si"
"5397179","5/23/2022","1 UsaquÃ©n","SAN CRISTOBAL NORTE","11 - SAN CRISTOBAL NORTE","CL 163 8D 00","Daño en redes de servicio públicos alcantarillado","Si"
"5397178","5/23/2022","4 San Cristobal","SAN JOSE ORIENTAL","50 - LA GLORIA","CL 40A SUR 11 ESTE","Daño en redes de servicio públicos energía","Si"
"5397177","5/23/2022","12 Barrios Unidos","JORGE ELIECER GAITAN","22 - DOCE DE OCTUBRE","KR 51 76 BIS","Daño en redes de servicio públicos de teléfono","Si"
"5397176","5/23/2022","9 Fontibon","ZONA INDUSTRIAL","N/A","CL 13 137","Encharcamiento","No"
"5397175","5/23/2022","1 UsaquÃ©n","SANTA BARBARA OCCIDENTAL","16 - SANTA BARBARA","CL 122 19A 55","Daño en redes de servicio públicos acueducto","Si"
"5397174","5/23/2022","1 UsaquÃ©n","SANTA TERESA","10 - LA URIBE","KR 8 167D 72","Quemas - Basuras","Si"
"5397173","5/23/2022","9 FontibÃ³n","MODELIA OCCIDENTAL","114 - MODELIA","CL 23A BIS 83 75","Caida de árbol","No"
"5397172","5/23/2022","11 Suba","PRADO VERANIEGO","19 - EL PRADO","KR 45A 134 75","Daño en redes de servicio públicos energía","Si"
"5397171","5/23/2022","9 FontibÃ³n","KASANDRA","77 - ZONA FRANCA","CL 14F BIS 134A 48","Daño en redes de servicio públicos alcantarillado","Si"
"5397170","5/23/2022","11 Suba","PRADO VERANIEGO SUR","24 - NIZA","CL 129 56B 17","Caida de árbol","No"
"5397169","5/23/2022","11 Suba","LA CAMPIÃ‘A I SECTOR","27 - SUBA","CL 147 98","Daño en redes de servicio públicos alcantarillado","Si"
"5397168","5/23/2022","2 Chapinero","CHAPINERO alto","N/A","VIA LA VALPARAISO","Caida de árbol","No"
"5397167","5/23/2022","10 Engativa","LOS CEREZOS","29 - MINUTO DE DIOS","CL 87 86 4","Daño en redes de servicio públicos energía","Si"
"5397166","5/23/2022","15 Antonio NariÃ±o","SAN JORGE CENTRAL","40 - CIUDAD MONTES","TV 31 12 SUR 38","Incendio Vehicular - Conato Vehicular","Si"
"5397165","5/23/2022","4 San Cristobal","REPUBLICA DE CANADA","N/A","TV 13B ESTE SUR 50","Caida de árbol - Pérdida de verticalidad de árbol","No"
"5397164","5/23/2022","11 Suba","LAS MERCEDES SUBA","N/A","KR 111 157 30","Daño en redes de servicio públicos gas","Si"
"5397163","5/23/2022","10 Engativa","EL MINUTO DE DIOS","N/A","AC 80 75 50","Daño en redes de servicio públicos energía","Si"
"5397162","5/23/2022","12 Barrios Unidos","JORGE ELIECER GAITAN","22 - DOCE DE OCTUBRE","KR 50 79","Daño en redes de servicio públicos de teléfono","Si"
"5397161","5/23/2022","16 Puente Aranda","LA ALQUERIA","41 - MUZU","CL 37 SUR 52 43","Daño en redes de servicio públicos gas","Si"
"5397160","5/23/2022","9 FontibÃ³n","EL PORTAL","76 - FONTIBON SAN PABLO","KR 119 17 18","Conato de incendio","Si"
"5397159","5/23/2022","7 Bosa","JOSE MARIA CARBONELL","85 - BOSA CENTRAL","DG 70F SUR 78A 90","Caida de árbol - Pérdida de verticalidad de árbol","No"
