Identificador;Fecha reporte;Localidad;Barrio;Upz;Dirección;Tipo de afectación;Factor Humano
5396219;5/5/2022;11 Suba;DIVISION DE TIBABUYES OCC.;71 - TIBABUYES;CL 142 BIS A 140A 0;Daño en redes de servicio públicos gas;Si
5396218;5/5/2022;11 Suba;GILMAR;18 - BRITALIA;KR 61 162 4;Caida de árbol;No
5396217;5/5/2022;6 Tunjuelito;EL TUNAL ORIENTAL;42 - VENECIA;CL 48C SUR 24 14;Explosión;Si
5396216;5/5/2022;4 San Cristobal;LA NUEVA GLORIA;51 - LOS LIBERTADORES;CL 47 SUR 8A ESTE 17;Caida de árbol;No
5396215;5/5/2022;11 Suba;LAS FLORES;27 - SUBA;CL 146A 95B 7;Daño en redes de servicio públicos gas;Si
5396214;5/5/2022;11 Suba;NUEVA ZELANDIA;17 - SAN JOSE DE BAVARIA;CL 180 51 0;Caida de árbol;No
5396213;5/5/2022;11 Suba;MONACO;20 - LA ALHAMBRA;CL 116 50 12;Conato de incendio;Si
5396212;5/5/2022;7 Bosa;SAN JOSE;85 - BOSA CENTRAL;KR 78 90 78 SUR;Hallazgo de materiales peligrosos;Si
5396211;5/5/2022;11 Suba;VILLA NOVA;17 - SAN JOSE DE BAVARIA;KR 54D 183 25;Caida de árbol;No
5396210;5/5/2022;13 Teusaquillo;NICOLAS DE FEDERMAN;106 - LA ESMERALDA;CL 62 37 0;Caida de árbol;No
5396209;5/5/2022;15 Antonio Nariño;SANTANDER;N/A;AC 22 SUR 29A 1;Derrame de aceite o gasolina en vía pública;Si
5396208;5/5/2022;3 Santa Fe;GIRARDOT;96 - LOURDES;CL 2 2 0;Daño en redes de servicio públicos energía;Si
5396207;5/5/2022;1 UsaquÃ©n;JARDINES DEL NORTE;12 - TOBERIN;KR 17 155 A 61;Caida de árbol;No
5396206;5/5/2022;3 Santa Fe;GIRARDOT;96 - LOURDES;KR 2 2;Daño en redes de servicio públicos energía;Si
5396205;5/5/2022;1 UsaquÃ©n;VILLAS DEL MEDITERRANEO;12 - TOBERIN;KR 13A 159A 38;Daño en redes de servicio públicos gas;Si
5396204;5/5/2022;1 UsaquÃ©n;CAOBOS SALAZAR;13 - LOS CEDROS;CL 151 9 1;Caida de árbol;No
5396203;5/5/2022;1 UsaquÃ©n;USAQUEN;14 - USAQUEN;KR 6 118 0;Conato de incendio;Si
5396202;5/5/2022;7 Bosa;GRAN COLOMBIANO;85 - BOSA CENTRAL;CL 74 SUR 80N 25;Conato de incendio;Si
5396201;5/5/2022;10 Engativa;GRANJAS DEL DORADO;74 - ENGATIVA;TV 112C 64D 97;Rescate en Espacios Confinados - En Ascensores;Si
5396200;5/5/2022;5 Usme;USMINIA;N/A;TV 20 ESTE 97 SUR 71;Caida de árbol;No
5396199;5/5/2022;11 Suba;A.S.D.;27 - SUBA;CL 153 110 0;Daño en redes de servicio públicos energía;Si
5396198;5/5/2022;1 Usaquen;USAQUEN;N/A;AUTO NORTE CL 184;Daño en redes de servicio públicos acueducto;Si
5396197;5/5/2022;8 Kennedy;EL RECODO Y PETALUNA;N/A;AC 13 68B 1;Daño en redes de servicio públicos gas;Si
5396196;5/5/2022;5 Usme;GRAN YOMASA;57 - GRAN YOMASA;KR 3 83 SUR 4;Daño en redes de servicio públicos acueducto;Si
5396195;5/5/2022;7 Bosa;BRASILIA;84 - BOSA OCCIDENTAL;KR 88C 52 SUR;Daño en redes de servicio públicos gas;Si
5396194;5/5/2022;9 FontibÃ³n;GIRALDA;75 - FONTIBON;KR 103A 23B 57;Daño en redes de servicio públicos acueducto;Si
5396193;5/5/2022;2 Chapinero;EL REFUGIO;88 - EL REFUGIO;KR 7A 92;Caida de árbol;No
5396192;5/5/2022;3 Santa Fe;LAS CRUCES;95 - LAS CRUCES;KR 5 BIS 1D 77;Caida de árbol - Caída de ramas;No
5396299;6/5/2022;10 Engativa;BOLIVIA;72 - BOLIVIA;KR 109 80A 73;Daño en redes de servicio públicos acueducto;Si
5396298;6/5/2022;17 La Candelaria;LA CATEDRAL;94 - LA CANDELARIA;KR 8A 12 63;Daño en redes de servicio públicos gas;Si
5396297;6/5/2022;15 Antonio NariÃ±o;CIUDAD JARDIN SUR;35 - CIUDAD JARDIN;KR 11 SUR 13 45;Poda y Tala;Si
5396296;6/5/2022;5 Usme;CHARALA;59 - ALFONSO LOPEZ;CL 89 SUR 6D ESTE 3;Daño en redes de servicio públicos energía;Si
5396295;6/5/2022;6 Tunjuelito;MUZU;42 - VENECIA;DG 58 SUR 29 59;Caida de árbol;No
5396294;6/5/2022;2 Chapinero;MARIA CRISTINA;90 - PARDO RUBIO;CL 64 2 55;Caida de árbol - Caída de ramas;No
5396293;6/5/2022;5 Usme;GRAN YOMASA;57 - GRAN YOMASA;KR 9 83 SUR 12;Daño en redes de servicio públicos alcantarillado;Si
5396292;6/5/2022;3 Santa Fe;JULIO CESAR TURBAY;96 - LOURDES;CL 10 5A ESTE 66;Animales Peligrosos;No
5396291;6/5/2022;10 Engativa;LA ESPAÃ‘OLA;29 - MINUTO DE DIOS;DG 83 76 51;Conato de incendio;Si
5396290;6/5/2022;11 Suba;EL PLAN;23 - CASA BLANCA SUBA;KR 58C 152B 56;Daño en redes de servicio públicos gas;Si
5396289;6/5/2022;1 UsaquÃ©n;LA CAROLINA;15 - COUNTRY CLUB;KR 14A 127B 37;Daño en redes de servicio públicos energía;Si
5396288;6/5/2022;8 Kennedy;LAS AMERICAS;44 - AMERICAS;KR 69D 3A 0;Daño en redes de servicio públicos gas;Si
5396287;6/5/2022;12 Barrios Unidos;SAN FELIPE;98 - LOS ALCAZARES;KR 20B 73 17;Caida de árbol;No
5396286;6/5/2022;17 La Candelaria;EGIPTO;94 - LA CANDELARIA;CL 9 00 02;Colapso de estructura;No
5396285;6/5/2022;13 Teusaquillo;NICOLAS DE FEDERMAN;106 - LA ESMERALDA;CL 62 37 0;Caida de árbol;No
5396284;6/5/2022;4 San Cristobal;LA NUEVA GLORIA;51 - LOS LIBERTADORES;CL 47 SUR 8A ESTE 17;Caida de árbol;No
5396283;6/5/2022;10 Engativa;SAN IGNACIO;116 - ALAMOS;DG 47 77 B 09;Caida de árbol;No
5396281;6/5/2022;7 Bosa;SAN BERNARDINO XXII;N/A;CL 87 SUR 91 85;Conato de incendio;Si
5396280;6/5/2022;16 Puente Aranda;GORGONZOLA;108 - ZONA INDUSTRIAL;CL 11A 42A 0;Quemas - Basuras;Si
5396279;6/5/2022;5 Usme;PLAZA;58 - COMUNEROS;KR 14 84 35 SUR;Daño en redes de servicio públicos alcantarillado;Si
5396278;6/5/2022;5 Usme;LA CABAÃ‘A;57 - GRAN YOMASA;CL 79 SUR 5 95;Escape de gas;Si
5396277;6/5/2022;5 Usme;DANUBIO AZUL;56 - DANUBIO;DG 57A SUR 2 40;Animales Peligrosos;No
5396276;6/5/2022;8 Kennedy;VILLA ALSACIA 2;46 - CASTILLA;CL 10B 75 13;Caida de árbol;No
5396275;6/5/2022;4 San Cristobal;CALVO SUR;33 - SOSIEGO;CL 1 SUR 7A 4;Fenómeno de Remoción en Masa;
5396274;6/5/2022;8 Kennedy;PATIO BONITO I;82 - PATIO BONITO;CL 6 SUR 86D 25;Daño en redes de servicio públicos alcantarillado;Si
5396273;6/5/2022;8 Kennedy;AMERICAS OCCIDENTAL;44 - AMERICAS;AK 72 4 SUR 0;Quemas - Basuras;Si
5396272;6/5/2022;10 Engativa;VINA DEL_MAR;N/A;AC 63 104 78;Animales Peligrosos;No
5396271;6/5/2022;9 FontibÃ³n;ESTACION VICTORIA;112 - GRANJAS DE TECHO;CL 20 92 12;Caida de árbol;No
5396270;6/5/2022;1 UsaquÃ©n;SANTA ANA OCCIDENTAL;14 - USAQUEN;CL 107 BIS 8 41;Caida de árbol - Pérdida de verticalidad de árbol;No
5396269;6/5/2022;8 Kennedy;EL PORTAL DE LAS AMERICAS;46 - CASTILLA;CL 10 75 13;Caida de árbol;No
5396268;6/5/2022;15 Antonio NariÃ±o;SANTANDER SUR;38 - RESTREPO;KR 29A 26 SUR 50;Caida de árbol;No
5396267;6/5/2022;12 Barrios Unidos;EL ROSARIO;103 - PARQUE SALITRE;KR 36A 63C 70;Caida de árbol;No
5396266;6/5/2022;4 San Cristobal;ATENAS;34 - 20 DE JULIO;KR 3C ESTE 36H SUR 61;Incendio Estructuras;
5396265;6/5/2022;3 Santa Fe;JULIO CESAR TURBAY;96 - LOURDES;CL 9 BIS 7 50 ESTE;Daño en redes de servicio públicos acueducto;Si
5396264;6/5/2022;4 San Cristobal;LA COLMENA;50 - LA GLORIA;CL 37 BIS A SUR 1;Daño en redes de servicio públicos acueducto;Si
5396263;6/5/2022;15 Antonio NariÃ±o;SANTANDER SUR;38 - RESTREPO;KR 29A 22 SUR 39;Daño en redes de servicio públicos acueducto;Si
